113
200	57202
210	63063
220	69208
230	75640
240	82357
250	89360
260	96649
270	104223
280	112084
290	120229
300	128661
310	137378
320	146381
330	155670
340	165244
350	175105
360	185250
370	195682
380	206399
390	217402
400	228691
410	240265
420	252126
430	264271
440	276703
450	289420
460	302423
470	315712
480	329286
490	343147
500	357292
510	371724
520	386441
530	401444
540	416733
550	432307
560	448168
570	464313
580	480745
590	497462
600	514465
610	531754
620	549328
630	567189
640	585334
650	603766
660	622483
670	641486
680	660775
690	680349
700	700210
710	720355
720	740787
730	761504
740	782507
750	803796
760	825370
770	847231
780	869376
790	891808
800	914525
810	937528
820	960817
830	984391
840	1008252
850	1032397
860	1056829
870	1081546
880	1106549
890	1131838
900	1157412
910	1183273
920	1209418
930	1235850
940	1262567
950	1289570
960	1316859
970	1344433
980	1372294
990	1400439
1000	1428871
1010	1457588
1020	1486591
1030	1515880
1040	1545454
1050	1575315
1060	1605460
1070	1635892
1080	1666609
1090	1697612
1100	1728901
1110	1760475
1120	1792336
1130	1824481
1140	1856913
1150	1889630
1160	1922633
1170	1955922
1180	1989496
1190	2023357
1200	2057502
1210	2091934
1220	2126651
1230	2161654
1240	2196943
1250	2232517
1260	2268378
1270	2304523
1280	2340955
1290	2377672
1300	2414675
1310	2451964
1320	2489538
